2024-04-15 15:55:22 INFO     epoch (index_dataloader/dataloader_len), loss_value.item(), epoch_losses.mean()
2024-04-15 15:56:01 INFO     train: 0 (2/1000), 20317.26171875, 24135.232421875
2024-04-15 15:56:36 INFO     train: 0 (5/1000), 21800.134765625, 24193.472005208332
2024-04-15 15:57:11 INFO     train: 0 (8/1000), 21529.12890625, 23390.446397569445
2024-04-15 15:57:47 INFO     train: 0 (11/1000), 18642.423828125, 22838.647135416668
2024-04-15 15:58:23 INFO     train: 0 (14/1000), 19165.6640625, 22192.149088541668
2024-04-15 15:58:58 INFO     train: 0 (17/1000), 21174.62890625, 21659.52853732639
2024-04-15 15:59:31 INFO     train: 0 (20/1000), 16359.685546875, 20977.82189360119
2024-04-15 16:00:04 INFO     train: 0 (23/1000), 14226.4619140625, 20302.73417154948
2024-04-15 16:00:37 INFO     train: 0 (26/1000), 13236.1943359375, 19634.53273292824
2024-04-15 16:01:09 INFO     train: 0 (29/1000), 11693.5068359375, 18960.042545572916
2024-04-15 16:01:42 INFO     train: 0 (32/1000), 12141.7763671875, 18291.727657433712
2024-04-15 16:02:14 INFO     train: 0 (35/1000), 10857.27734375, 17669.694797092016
2024-04-15 16:02:47 INFO     train: 0 (38/1000), 11739.8759765625, 17167.749774639422
2024-04-15 16:03:20 INFO     train: 0 (41/1000), 9867.5390625, 16652.65808686756
2024-04-15 16:03:52 INFO     train: 0 (44/1000), 11035.2587890625, 16224.913389756945
2024-04-15 16:04:25 INFO     train: 0 (47/1000), 9796.134765625, 15802.898844401041
2024-04-15 16:04:57 INFO     train: 0 (50/1000), 8046.640625, 15362.301547181372
2024-04-15 16:05:30 INFO     train: 0 (53/1000), 8870.0146484375, 14973.0049822772
2024-04-15 16:06:02 INFO     train: 0 (56/1000), 8049.06884765625, 14616.225080523574
2024-04-15 16:06:35 INFO     train: 0 (59/1000), 7377.75244140625, 14276.639038085938
2024-04-15 16:07:08 INFO     train: 0 (62/1000), 7248.07568359375, 13952.819738963293
2024-04-15 16:07:40 INFO     train: 0 (65/1000), 7101.37890625, 13624.763087417141
2024-04-15 16:08:13 INFO     train: 0 (68/1000), 6019.18017578125, 13332.663489300272
2024-04-15 16:08:45 INFO     train: 0 (71/1000), 5772.65283203125, 13045.829501681857
2024-04-15 16:09:18 INFO     train: 0 (74/1000), 6589.3046875, 12769.305345052084
2024-04-15 16:09:51 INFO     train: 0 (77/1000), 5686.32177734375, 12498.262826772836
2024-04-15 16:10:23 INFO     train: 0 (80/1000), 5074.7900390625, 12222.338891300155
2024-04-15 16:10:56 INFO     train: 0 (83/1000), 5357.45849609375, 11967.502389090401
2024-04-15 16:11:29 INFO     train: 0 (86/1000), 5470.3037109375, 11737.692742007903
2024-04-15 16:12:01 INFO     train: 0 (89/1000), 7265.65673828125, 11540.791937934027
2024-04-15 16:12:34 INFO     train: 0 (92/1000), 4837.3857421875, 11339.77850407426
2024-04-15 16:13:06 INFO     train: 0 (95/1000), 4114.6748046875, 11119.851826985678
2024-04-15 16:13:39 INFO     train: 0 (98/1000), 4301.4755859375, 10920.862768308081
2024-04-15 16:14:12 INFO     train: 0 (101/1000), 3861.255859375, 10714.098529890472
2024-04-15 16:14:44 INFO     train: 0 (104/1000), 3657.439208984375, 10514.163290550596
2024-04-15 16:15:17 INFO     train: 0 (107/1000), 3845.221923828125, 10322.771337438513
2024-04-15 16:15:50 INFO     train: 0 (110/1000), 3650.3232421875, 10145.4022051837
2024-04-15 16:16:22 INFO     train: 0 (113/1000), 3507.704833984375, 9971.38177811472
2024-04-15 16:16:55 INFO     train: 0 (116/1000), 2974.2529296875, 9801.743474976629
2024-04-15 16:17:27 INFO     train: 0 (119/1000), 2832.372314453125, 9639.1779296875
2024-04-15 16:18:00 INFO     train: 0 (122/1000), 3594.802490234375, 9481.072035378556
2024-04-15 16:18:33 INFO     train: 0 (125/1000), 2994.70361328125, 9325.502772739956
2024-04-15 16:19:05 INFO     train: 0 (128/1000), 3523.16455078125, 9185.17165924782
