2024-04-16 12:08:17 INFO     epoch (index_dataloader/dataloader_len), loss_value.item(), epoch_losses.mean()
2024-04-16 12:09:48 INFO     train: 0 (7/2500), 26311.298828125, 30480.376220703125
2024-04-16 12:11:16 INFO     train: 0 (15/2500), 19014.951171875, 26565.357421875
2024-04-16 12:12:43 INFO     train: 0 (23/2500), 15668.607421875, 23706.77392578125
2024-04-16 12:14:11 INFO     train: 0 (31/2500), 13541.490234375, 21521.459991455078
2024-04-16 12:15:38 INFO     train: 0 (39/2500), 10312.69140625, 19673.2556640625
2024-04-16 12:17:06 INFO     train: 0 (47/2500), 10370.51953125, 18106.297729492188
2024-04-16 12:18:33 INFO     train: 0 (55/2500), 7765.759765625, 16634.088396344865
2024-04-16 12:20:01 INFO     train: 0 (63/2500), 6608.3369140625, 15501.019088745117
2024-04-16 12:21:28 INFO     train: 0 (71/2500), 5822.06298828125, 14501.430874294705
2024-04-16 12:22:56 INFO     train: 0 (79/2500), 5010.82275390625, 13590.480163574219
2024-04-16 12:24:23 INFO     train: 0 (87/2500), 5457.265625, 12787.560241699219
2024-04-16 12:25:51 INFO     train: 0 (95/2500), 3875.2333984375, 12081.57861328125
2024-04-16 12:27:18 INFO     train: 0 (103/2500), 3462.50244140625, 11435.732522817758
2024-04-16 12:28:46 INFO     train: 0 (111/2500), 3129.8896484375, 10854.589080810547
2024-04-16 12:30:14 INFO     train: 0 (119/2500), 2847.672119140625, 10330.51601969401
2024-04-16 12:31:41 INFO     train: 0 (127/2500), 3250.7431640625, 9870.823392868042
2024-04-16 12:33:09 INFO     train: 0 (135/2500), 2483.6767578125, 9464.191777846392
2024-04-16 12:34:36 INFO     train: 0 (143/2500), 2230.2451171875, 9080.815073649088
2024-04-16 12:36:04 INFO     train: 0 (151/2500), 1944.744384765625, 8722.165896767065
2024-04-16 12:37:31 INFO     train: 0 (159/2500), 2043.387451171875, 8399.474293518066
2024-04-16 12:38:59 INFO     train: 0 (167/2500), 1903.8070068359375, 8093.9287349155975
2024-04-16 12:40:26 INFO     train: 0 (175/2500), 1645.6070556640625, 7807.027054526589
2024-04-16 12:41:54 INFO     train: 0 (183/2500), 1767.621826171875, 7547.212503847869
2024-04-16 12:43:21 INFO     train: 0 (191/2500), 1662.193115234375, 7299.8882694244385
2024-04-16 12:44:49 INFO     train: 0 (199/2500), 1710.0018310546875, 7085.059899902344
2024-04-16 12:46:16 INFO     train: 0 (207/2500), 1184.4703369140625, 6870.281363854041
2024-04-16 12:47:44 INFO     train: 0 (215/2500), 1285.095947265625, 6666.047874168114
2024-04-16 12:49:11 INFO     train: 0 (223/2500), 1078.2861328125, 6474.55801991054
2024-04-16 12:50:39 INFO     train: 0 (231/2500), 1165.3712158203125, 6293.772368332436
